A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
b,26.92,2.25,u,g,i,bb,0.5,f,f,0,t,g,640.0,4000,0
b,33.75,2.75,u,g,i,bb,0.0,f,f,0,f,g,180.0,0,0
b,38.92,1.75,u,g,k,v,0.5,f,f,0,t,g,300.0,2,0
b,62.75,7.0,u,g,e,z,0.0,f,f,0,f,g,0.0,12,0
Missing,32.25,1.5,u,g,c,v,0.25,f,f,0,t,g,372.0,122,0
b,26.75,4.5,y,p,c,bb,2.5,f,f,0,f,g,200.0,1210,0
b,63.33,0.54,u,g,c,v,0.585,t,t,3,t,g,180.0,0,0
b,27.83,1.5,u,g,w,v,2.25,f,t,1,t,g,100.0,3,0
a,26.17,2.0,u,g,j,j,0.0,f,f,0,t,g,276.0,1,0
b,22.17,0.585,y,p,ff,ff,0.0,f,f,0,f,g,100.0,0,0
b,22.5,11.5,y,p,m,v,1.5,f,f,0,t,g,0.0,4000,0
b,30.75,1.585,u,g,d,v,0.585,f,f,0,t,s,0.0,0,0
b,36.67,2.0,u,g,i,v,0.25,f,f,0,t,g,221.0,0,0
a,16.0,0.165,u,g,aa,v,1.0,f,t,2,t,g,320.0,1,0
b,41.17,1.335,u,g,d,v,0.165,f,f,0,f,g,168.0,0,0
a,19.5,0.165,u,g,q,v,0.04,f,f,0,t,g,380.0,0,0
b,32.42,3.0,u,g,d,v,0.165,f,f,0,t,g,120.0,0,0
a,36.75,4.71,u,g,ff,ff,0.0,f,f,0,f,g,160.0,0,0
a,30.25,5.5,u,g,k,v,5.5,f,f,0,t,s,100.0,0,0
b,23.08,2.5,u,g,ff,ff,0.085,f,f,0,t,g,100.0,4208,0
b,26.83,0.54,u,g,k,ff,0.0,f,f,0,f,g,100.0,0,0
b,16.92,0.335,y,p,k,v,0.29,f,f,0,f,s,200.0,0,0
b,24.42,2.0,u,g,e,dd,0.165,f,t,2,f,g,320.0,1300,0
b,42.83,1.25,u,g,m,v,13.875,f,t,1,t,g,352.0,112,0
a,22.75,6.165,u,g,aa,v,0.165,f,f,0,f,g,220.0,1000,0
b,39.42,1.71,y,p,m,v,0.165,f,f,0,f,s,400.0,0,0
a,23.58,11.5,y,p,k,h,3.0,f,f,0,t,g,20.0,16,0
b,21.42,0.75,y,p,r,n,0.75,f,f,0,t,g,132.0,2,0
b,33.0,2.5,y,p,w,v,7.0,f,f,0,t,g,280.0,0,0
b,26.33,13.0,u,g,e,dd,0.0,f,f,0,t,g,140.0,1110,0
a,45.0,4.585,u,g,k,h,1.0,f,f,0,t,s,240.0,0,0
b,26.25,1.54,u,g,w,v,0.125,f,f,0,f,g,100.0,0,0
Missing,28.17,0.585,u,g,aa,v,0.04,f,f,0,f,g,260.0,1004,0
a,20.83,0.5,y,p,e,dd,1.0,f,f,0,f,g,260.0,0,0
b,28.67,14.5,u,g,d,v,0.125,f,f,0,f,g,0.0,286,0
b,20.67,0.835,y,p,c,v,2.0,f,f,0,t,s,240.0,0,0
b,34.42,1.335,u,g,i,bb,0.125,f,f,0,t,g,440.0,4500,0
b,33.58,0.25,u,g,i,bb,4.0,f,f,0,t,s,420.0,0,0
b,43.17,5.0,u,g,i,bb,2.25,f,f,0,t,g,141.0,0,0
a,22.67,7.0,u,g,c,v,0.165,f,f,0,f,g,160.0,0,0
a,24.33,2.5,y,p,i,bb,4.5,f,f,0,f,g,200.0,456,0
a,56.83,4.25,y,p,ff,ff,5.0,f,f,0,t,g,0.0,4,0
b,22.08,11.46,u,g,k,v,1.585,f,f,0,t,g,100.0,1212,0
b,34.0,5.5,y,p,c,v,1.5,f,f,0,t,g,60.0,0,0
b,22.58,1.5,y,p,aa,v,0.54,f,f,0,t,g,120.0,67,0
b,21.17,0.0,u,g,c,v,0.5,f,f,0,t,s,0.0,0,0
b,26.67,14.585,u,g,i,bb,0.0,f,f,0,t,g,178.0,0,0
b,22.92,0.17,u,g,m,v,0.085,f,f,0,f,s,0.0,0,0
b,15.17,7.0,u,g,e,v,1.0,f,f,0,f,g,600.0,0,0
b,39.92,5.0,u,g,i,bb,0.21,f,f,0,f,g,550.0,0,0
b,27.42,12.5,u,g,aa,bb,0.25,f,f,0,t,g,720.0,0,0
b,24.75,0.54,u,g,m,v,1.0,f,f,0,t,g,120.0,1,0
b,41.17,1.25,y,p,w,v,0.25,f,f,0,f,g,0.0,195,0
a,33.08,1.625,u,g,d,v,0.54,f,f,0,t,g,0.0,0,0
b,29.83,2.04,y,p,x,h,0.04,f,f,0,f,g,128.0,1,0
a,23.58,0.585,y,p,ff,ff,0.125,f,f,0,f,g,120.0,87,0
b,26.17,12.5,y,p,k,h,1.25,f,f,0,t,g,0.0,17,0
b,31.0,2.085,u,g,c,v,0.085,f,f,0,f,g,300.0,0,0
b,20.75,5.085,y,p,j,v,0.29,f,f,0,f,g,140.0,184,0
b,28.92,0.375,u,g,c,v,0.29,f,f,0,f,g,220.0,140,0
a,51.92,6.5,u,g,i,bb,3.085,f,f,0,t,g,73.0,0,0
a,22.67,0.335,u,g,q,v,0.75,f,f,0,f,s,160.0,0,0
b,34.0,5.085,y,p,i,bb,1.085,f,f,0,t,g,480.0,0,0
a,69.5,6.0,u,g,ff,ff,0.0,f,f,0,f,s,0.0,0,0
a,40.33,8.125,y,p,k,v,0.165,f,t,2,f,g,0.0,18,0
a,19.58,0.665,y,p,c,v,1.0,f,t,1,f,g,2000.0,2,0
b,16.0,3.125,u,g,w,v,0.085,f,t,1,f,g,0.0,6,0
b,17.08,0.25,u,g,q,v,0.335,f,t,4,f,g,160.0,8,0
b,31.25,2.835,u,g,ff,ff,0.0,f,t,5,f,g,176.0,146,0
b,25.17,3.0,u,g,c,v,1.25,f,t,1,f,g,0.0,22,0
a,22.67,0.79,u,g,i,v,0.085,f,f,0,f,g,144.0,0,0
b,40.58,1.5,u,g,i,bb,0.0,f,f,0,f,s,300.0,0,0
b,22.25,0.46,u,g,k,v,0.125,f,f,0,t,g,280.0,55,0
a,22.25,1.25,y,p,ff,ff,3.25,f,f,0,f,g,280.0,0,0
b,22.5,0.125,y,p,k,v,0.125,f,f,0,f,g,200.0,70,0
b,23.58,1.79,u,g,c,v,0.54,f,f,0,t,g,136.0,1,0
b,38.42,0.705,u,g,c,v,0.375,f,t,2,f,g,225.0,500,0
a,26.58,2.54,y,p,ff,ff,0.0,f,f,0,t,g,180.0,60,0
b,35.0,2.5,u,g,i,v,1.0,f,f,0,t,g,210.0,0,0
b,20.42,1.085,u,g,q,v,1.5,f,f,0,f,g,108.0,7,0
b,29.42,1.25,u,g,w,v,1.75,f,f,0,f,g,200.0,0,0
b,26.17,0.835,u,g,cc,v,1.165,f,f,0,f,g,100.0,0,0
b,33.67,2.165,u,g,c,v,1.5,f,f,0,f,p,120.0,0,0
b,24.58,1.25,u,g,c,v,0.25,f,f,0,f,g,110.0,0,0
a,27.67,2.04,u,g,w,v,0.25,f,f,0,t,g,180.0,50,0
b,37.5,0.835,u,g,e,v,0.04,f,f,0,f,g,120.0,5,0
b,49.17,2.29,u,g,ff,ff,0.29,f,f,0,f,g,200.0,3,0
b,33.58,0.335,y,p,cc,v,0.085,f,f,0,f,g,180.0,0,0
b,51.83,3.0,y,p,ff,ff,1.5,f,f,0,f,g,180.0,4,0
b,22.92,3.165,y,p,c,v,0.165,f,f,0,f,g,160.0,1058,0
b,21.83,1.54,u,g,k,v,0.085,f,f,0,t,g,356.0,0,0
b,25.25,1.0,u,g,aa,v,0.5,f,f,0,f,g,200.0,0,0
b,58.58,2.71,u,g,c,v,2.415,f,f,0,t,g,320.0,0,0
b,19.0,0.0,y,p,ff,ff,0.0,f,t,4,f,g,45.0,1,0
b,19.58,0.585,u,g,ff,ff,0.0,f,t,3,f,g,350.0,769,0
a,53.33,0.165,u,g,ff,ff,0.0,f,f,0,t,s,62.0,27,0
a,27.17,1.25,u,g,ff,ff,0.0,f,t,1,f,g,92.0,300,0
b,25.92,0.875,u,g,k,v,0.375,f,t,2,t,g,174.0,3,0
b,23.08,0.0,u,g,k,v,1.0,f,t,11,f,s,0.0,0,0
b,39.58,5.0,u,g,ff,ff,0.0,f,t,2,f,g,17.0,1,0
b,30.58,2.71,y,p,m,v,0.125,f,f,0,t,s,80.0,0,0
b,17.25,3.0,u,g,k,v,0.04,f,f,0,t,g,160.0,40,0
a,17.67,0.0,y,p,j,ff,0.0,f,f,0,f,g,86.0,0,0
a,0.0,11.25,u,g,ff,ff,0.0,f,f,0,f,g,0.0,5200,0
b,16.5,0.125,u,g,c,v,0.165,f,f,0,f,g,132.0,0,0
a,27.33,1.665,u,g,ff,ff,0.0,f,f,0,f,g,340.0,1,0
b,31.25,1.125,u,g,ff,ff,0.0,f,t,1,f,g,96.0,19,0
b,20.0,7.0,u,g,c,v,0.5,f,f,0,f,g,0.0,0,0
b,0.0,3.0,y,p,i,bb,7.0,f,f,0,f,g,0.0,1,0
b,39.5,1.625,u,g,c,v,1.5,f,f,0,f,g,0.0,316,0
b,36.5,4.25,u,g,q,v,3.5,f,f,0,f,g,454.0,50,0
Missing,29.75,0.665,u,g,w,v,0.25,f,f,0,t,g,300.0,0,0
b,52.42,1.5,u,g,d,v,3.75,f,f,0,t,g,0.0,350,0
b,36.17,18.125,u,g,w,v,0.085,f,f,0,f,g,320.0,3552,0
b,34.58,0.0,Missing,Missing,Missing,Missing,0.0,f,f,0,f,p,0.0,0,0
b,29.67,0.75,y,p,c,v,0.04,f,f,0,f,g,240.0,0,0
b,36.17,5.5,u,g,i,bb,5.0,f,f,0,f,g,210.0,687,0
b,25.67,0.29,y,p,c,v,1.5,f,f,0,t,g,160.0,0,0
a,24.5,2.415,y,p,c,v,0.0,f,f,0,f,g,120.0,0,0
b,24.08,0.875,u,g,m,v,0.085,f,t,4,f,g,254.0,1950,0
b,21.92,0.5,u,g,c,v,0.125,f,f,0,f,g,360.0,0,0
a,36.58,0.29,u,g,ff,ff,0.0,f,t,10,f,g,200.0,18,0
a,23.0,1.835,u,g,j,j,0.0,f,t,1,f,g,200.0,53,0
a,27.58,3.0,u,g,m,v,2.79,f,t,1,t,g,280.0,10,0
b,31.08,3.085,u,g,c,v,2.5,f,t,2,t,g,160.0,41,0
a,30.42,1.375,u,g,w,h,0.04,f,t,3,f,g,0.0,33,0
b,22.08,2.335,u,g,k,v,0.75,f,f,0,f,g,180.0,0,0
b,16.33,4.085,u,g,i,h,0.415,f,f,0,t,g,120.0,0,0
a,21.92,11.665,u,g,k,h,0.085,f,f,0,f,g,320.0,5,0
b,21.08,4.125,y,p,i,h,0.04,f,f,0,f,g,140.0,100,0
b,17.42,6.5,u,g,i,v,0.125,f,f,0,f,g,60.0,100,0
b,19.17,4.0,y,p,i,v,1.0,f,f,0,t,g,360.0,1000,0
b,20.67,0.415,u,g,c,v,0.125,f,f,0,f,g,0.0,44,0
b,26.75,2.0,u,g,d,v,0.75,f,f,0,t,g,80.0,0,0
b,23.58,0.835,u,g,i,h,0.085,f,f,0,t,g,220.0,5,0
b,39.17,2.5,y,p,i,h,10.0,f,f,0,t,s,200.0,0,0
b,22.75,11.5,u,g,i,v,0.415,f,f,0,f,g,0.0,0,0
Missing,26.5,2.71,y,p,Missing,Missing,0.085,f,f,0,f,s,80.0,0,0
a,16.92,0.5,u,g,i,v,0.165,f,t,6,t,g,240.0,35,0
b,23.5,3.165,y,p,k,v,0.415,f,t,1,t,g,280.0,80,0
a,17.33,9.5,u,g,aa,v,1.75,f,t,10,t,g,0.0,10,0
b,23.75,0.415,y,p,c,v,0.04,f,t,2,f,g,128.0,6,0
b,34.67,1.08,u,g,m,v,1.165,f,f,0,f,s,28.0,0,0
b,74.83,19.0,y,p,ff,ff,0.04,f,t,2,f,g,0.0,351,0
b,28.17,0.125,y,p,k,v,0.085,f,f,0,f,g,216.0,2100,0
b,24.5,13.335,y,p,aa,v,0.04,f,f,0,t,g,120.0,475,0
b,18.83,3.54,y,p,ff,ff,0.0,f,f,0,t,g,180.0,1,0
Missing,45.33,1.0,u,g,q,v,0.125,f,f,0,t,g,263.0,0,0
a,47.25,0.75,u,g,q,h,2.75,t,t,1,f,g,333.0,892,1
b,24.17,0.875,u,g,q,v,4.625,t,t,2,t,g,520.0,2000,1
b,39.25,9.5,u,g,m,v,6.5,t,t,14,f,g,240.0,4607,1
a,20.5,11.835,u,g,c,h,6.0,t,f,0,f,g,340.0,0,1
a,18.83,4.415,y,p,c,h,3.0,t,f,0,f,g,240.0,0,1
b,19.17,9.5,u,g,w,v,1.5,t,f,0,f,g,120.0,2206,1
a,25.0,0.875,u,g,x,h,1.04,t,f,0,t,g,160.0,5860,1
b,20.17,9.25,u,g,c,v,1.665,t,t,3,t,g,40.0,28,1
b,25.75,0.5,u,g,c,v,1.46,t,t,5,t,g,312.0,0,1
b,20.42,7.0,u,g,c,v,1.625,t,t,3,f,g,200.0,1391,1
b,0.0,4.0,u,g,x,v,5.0,t,t,3,t,g,290.0,2279,1
b,39.0,5.0,u,g,cc,v,3.5,t,t,10,t,g,0.0,0,1
a,64.08,0.165,u,g,ff,ff,0.0,t,t,1,f,g,232.0,100,1
b,28.25,5.125,u,g,x,v,4.75,t,t,2,f,g,420.0,7,1
a,28.75,3.75,u,g,c,v,1.085,t,t,1,t,g,371.0,0,1
b,31.33,19.5,u,g,c,v,7.0,t,t,16,f,g,0.0,5000,1
a,18.92,9.0,u,g,aa,v,0.75,t,t,2,f,g,88.0,591,1
a,24.75,3.0,u,g,q,h,1.835,t,t,19,f,g,0.0,500,1
a,30.67,12.0,u,g,c,v,2.0,t,t,1,f,g,220.0,19,1
b,21.0,4.79,y,p,w,v,2.25,t,t,1,t,g,80.0,300,1
b,13.75,4.0,y,p,w,v,1.75,t,t,2,t,g,120.0,1000,1
a,46.0,4.0,u,g,j,j,0.0,t,f,0,f,g,100.0,960,1
a,44.33,0.0,u,g,c,v,2.5,t,f,0,f,g,0.0,0,1
b,20.25,9.96,u,g,e,dd,0.0,t,f,0,f,g,0.0,0,1
b,22.67,2.54,y,p,c,h,2.585,t,f,0,f,g,0.0,0,1
b,0.0,10.5,u,g,x,v,6.5,t,f,0,f,g,0.0,0,1
a,60.92,5.0,u,g,aa,v,4.0,t,t,4,f,g,0.0,99,1
b,16.08,0.75,u,g,c,v,1.75,t,t,5,t,g,352.0,690,1
a,28.17,0.375,u,g,q,v,0.585,t,t,4,f,g,80.0,0,1
b,39.17,1.71,u,g,x,v,0.125,t,t,5,t,g,480.0,0,1
Missing,20.42,7.5,u,g,k,v,1.5,t,t,1,f,g,160.0,234,1
a,30.0,5.29,u,g,e,dd,2.25,t,t,5,t,g,99.0,500,1
b,22.83,3.0,u,g,m,v,1.29,t,t,1,f,g,260.0,800,1
a,22.5,8.5,u,g,q,v,1.75,t,t,10,f,g,80.0,990,0
a,28.58,1.665,u,g,q,v,2.415,t,f,0,t,g,440.0,0,0
b,45.17,1.5,u,g,c,v,2.5,t,f,0,t,g,140.0,0,0
b,41.58,1.75,u,g,k,v,0.21,t,f,0,f,g,160.0,0,0
a,57.08,0.335,u,g,i,bb,1.0,t,f,0,t,g,252.0,2197,0
a,55.75,7.08,u,g,k,h,6.75,t,t,3,t,g,100.0,50,0
b,43.25,25.21,u,g,q,h,0.21,t,t,1,f,g,760.0,90,0
a,25.33,2.085,u,g,c,h,2.75,t,f,0,t,g,360.0,1,0
a,24.58,0.67,u,g,aa,h,1.75,t,f,0,f,g,400.0,0,0
b,43.17,2.25,u,g,i,bb,0.75,t,f,0,f,g,560.0,0,0
b,40.92,0.835,u,g,ff,ff,0.0,t,f,0,f,g,130.0,1,0
b,31.83,2.5,u,g,aa,v,7.5,t,f,0,t,g,523.0,0,0
a,33.92,1.585,y,p,ff,ff,0.0,t,f,0,f,g,320.0,0,0
a,24.92,1.25,u,g,ff,ff,0.0,t,f,0,f,g,80.0,0,0
b,35.25,3.165,u,g,x,h,3.75,t,f,0,t,g,680.0,0,0
b,34.25,1.75,u,g,w,bb,0.25,t,f,0,t,g,163.0,0,0
b,80.25,5.5,u,g,Missing,Missing,0.54,t,f,0,f,g,0.0,340,0
b,19.42,1.5,y,p,cc,v,2.0,t,f,0,t,g,100.0,20,0
b,42.75,3.0,u,g,i,bb,1.0,t,f,0,f,g,0.0,200,0
b,19.67,10.0,y,p,k,h,0.835,t,f,0,t,g,140.0,0,0
b,36.33,3.79,u,g,w,v,1.165,t,f,0,t,g,200.0,0,0
b,30.08,1.04,y,p,i,bb,0.5,t,t,10,t,g,132.0,28,0
b,44.25,11.0,y,p,d,v,1.5,t,f,0,f,s,0.0,0,0
b,23.58,0.46,y,p,w,v,2.625,t,t,6,t,g,208.0,347,0
b,23.92,1.5,u,g,d,h,1.875,t,t,6,f,g,200.0,327,1
b,33.17,1.0,u,g,x,v,0.75,t,t,7,t,g,340.0,4071,1
b,48.33,12.0,u,g,m,v,16.0,t,f,0,f,s,110.0,0,1
b,76.75,22.29,u,g,e,z,12.75,t,t,1,t,g,0.0,109,1
b,51.33,10.0,u,g,i,bb,0.0,t,t,11,f,g,0.0,1249,1
b,34.75,15.0,u,g,r,n,5.375,t,t,9,t,g,0.0,134,1
b,38.58,3.335,u,g,w,v,4.0,t,t,14,f,g,383.0,1344,1
a,22.42,11.25,y,p,x,h,0.75,t,t,4,f,g,0.0,321,1
b,41.92,0.42,u,g,c,h,0.21,t,t,6,f,g,220.0,948,1
b,29.58,4.5,u,g,w,v,7.5,t,t,2,t,g,330.0,0,1
a,32.17,1.46,u,g,w,v,1.085,t,t,16,f,g,120.0,2079,1
b,51.42,0.04,u,g,x,h,0.04,t,f,0,f,g,0.0,3000,1
a,22.83,2.29,u,g,q,h,2.29,t,t,7,t,g,140.0,2384,1
a,25.0,12.33,u,g,cc,h,3.5,t,t,6,f,g,400.0,458,1
b,26.75,1.125,u,g,x,h,1.25,t,f,0,f,g,0.0,5298,1
b,23.33,1.5,u,g,c,h,1.415,t,f,0,f,g,422.0,200,1
b,24.42,12.335,u,g,q,h,1.585,t,f,0,t,g,120.0,0,1
b,42.17,5.04,u,g,q,h,12.75,t,f,0,t,g,92.0,0,1
a,20.83,3.0,u,g,aa,v,0.04,t,f,0,f,g,100.0,0,1
b,23.08,11.5,u,g,w,h,2.125,t,t,11,t,g,290.0,284,1
a,25.17,2.875,u,g,x,h,0.875,t,f,0,f,g,360.0,0,1
b,43.08,0.375,y,p,c,v,0.375,t,t,8,t,g,300.0,162,1
a,35.75,0.915,u,g,aa,v,0.75,t,t,4,f,g,0.0,1583,1
b,59.5,2.75,u,g,w,v,1.75,t,t,5,t,g,60.0,58,1
b,21.0,3.0,y,p,d,v,1.085,t,t,8,t,g,160.0,1,1
b,21.92,0.54,y,p,x,v,0.04,t,t,1,t,g,840.0,59,1
a,65.17,14.0,u,g,ff,ff,0.0,t,t,11,t,g,0.0,1400,1
a,20.33,10.0,u,g,c,h,1.0,t,t,4,f,g,50.0,1465,1
b,32.25,0.165,y,p,c,h,3.25,t,t,1,t,g,432.0,8000,1
b,30.17,0.5,u,g,c,v,1.75,t,t,11,f,g,32.0,540,1
b,25.17,6.0,u,g,c,v,1.0,t,t,3,f,g,0.0,0,1
b,39.17,1.625,u,g,c,v,1.5,t,t,10,f,g,186.0,4700,1
b,39.08,6.0,u,g,m,v,1.29,t,t,5,t,g,108.0,1097,1
b,31.67,0.83,u,g,x,v,1.335,t,t,8,t,g,303.0,3290,1
b,41.0,0.04,u,g,e,v,0.04,f,t,1,f,s,560.0,0,1
b,48.5,4.25,u,g,m,v,0.125,t,f,0,t,g,225.0,0,1
b,32.67,9.0,y,p,w,h,5.25,t,f,0,t,g,154.0,0,1
a,28.08,15.0,y,p,e,z,0.0,t,f,0,f,g,0.0,13212,1
b,73.42,17.75,u,g,ff,ff,0.0,t,f,0,t,g,0.0,0,1
b,64.08,20.0,u,g,x,h,17.5,t,t,9,t,g,0.0,1000,1
b,51.58,15.0,u,g,c,v,8.5,t,t,9,f,g,0.0,0,1
b,26.67,1.75,y,p,c,v,1.0,t,t,5,t,g,160.0,5777,1
b,25.33,0.58,u,g,c,v,0.29,t,t,7,t,g,96.0,5124,1
b,30.17,6.5,u,g,cc,v,3.125,t,t,8,f,g,330.0,1200,1
b,27.0,0.75,u,g,c,h,4.25,t,t,3,t,g,312.0,150,1
b,23.17,0.0,Missing,Missing,Missing,Missing,0.0,f,f,0,f,p,0.0,0,1
b,34.17,5.25,u,g,w,v,0.085,f,f,0,t,g,290.0,6,1
b,38.67,0.21,u,g,k,v,0.085,t,f,0,t,g,280.0,0,1
b,25.75,0.75,u,g,c,bb,0.25,t,f,0,f,g,349.0,23,1
a,46.08,3.0,u,g,c,v,2.375,t,t,8,t,g,396.0,4159,1
a,21.5,6.0,u,g,aa,v,2.5,t,t,3,f,g,80.0,918,1
Missing,20.08,0.125,u,g,q,v,1.0,f,t,1,f,g,240.0,768,1
b,20.5,2.415,u,g,c,v,2.0,t,t,11,t,g,200.0,3000,1
a,29.5,0.46,u,g,k,v,0.54,t,t,4,f,g,380.0,500,1
Missing,42.25,1.75,y,p,Missing,Missing,0.0,f,f,0,t,g,150.0,1,0
b,29.83,1.25,y,p,k,v,0.25,f,f,0,f,g,224.0,0,0
b,20.08,0.25,u,g,q,v,0.125,f,f,0,f,g,200.0,0,0
b,23.42,0.585,u,g,c,h,0.085,t,f,0,f,g,180.0,0,0
a,29.58,1.75,y,p,k,v,1.25,f,f,0,t,g,280.0,0,0
b,16.17,0.04,u,g,c,v,0.04,f,f,0,f,g,0.0,0,1
b,32.33,3.5,u,g,k,v,0.5,f,f,0,t,g,232.0,0,0
b,0.0,0.04,y,p,d,v,4.25,f,f,0,t,g,460.0,0,0
b,47.83,4.165,u,g,x,bb,0.085,f,f,0,t,g,520.0,0,0
b,20.0,1.25,y,p,k,v,0.125,f,f,0,f,g,140.0,4,0
b,27.58,3.25,y,p,q,h,5.085,f,t,2,t,g,369.0,1,0
b,22.0,0.79,u,g,w,v,0.29,f,t,1,f,g,420.0,283,0
b,19.33,10.915,u,g,c,bb,0.585,f,t,2,t,g,200.0,7,0
a,38.33,4.415,u,g,c,v,0.125,f,f,0,f,g,160.0,0,0
b,29.42,1.25,u,g,c,h,0.25,f,t,2,t,g,400.0,108,0
b,22.67,0.75,u,g,i,v,1.585,f,t,1,t,g,400.0,9,0
b,32.25,14.0,y,p,ff,ff,0.0,f,t,2,f,g,160.0,1,0
b,29.58,4.75,u,g,m,v,2.0,f,t,1,t,g,460.0,68,0
b,18.42,10.415,y,p,aa,v,0.125,t,f,0,f,g,120.0,375,0
b,22.17,2.25,u,g,i,v,0.125,f,f,0,f,g,160.0,10,0
b,22.67,0.165,u,g,c,j,2.25,f,f,0,t,s,0.0,0,1
a,25.58,0.0,Missing,Missing,Missing,Missing,0.0,f,f,0,f,p,0.0,0,1
b,18.83,0.0,u,g,q,v,0.665,f,f,0,f,g,160.0,1,0
b,21.58,0.79,y,p,cc,v,0.665,f,f,0,f,g,160.0,0,0
b,23.75,12.0,u,g,c,v,2.085,f,f,0,f,s,80.0,0,0
b,22.0,7.835,y,p,i,bb,0.165,f,f,0,t,g,0.0,0,0
b,36.08,2.54,u,g,ff,ff,0.0,f,f,0,f,g,0.0,1000,0
b,29.25,13.0,u,g,d,h,0.5,f,f,0,f,g,228.0,0,0
a,19.58,0.665,u,g,w,v,1.665,f,f,0,f,g,220.0,5,0
a,22.92,1.25,u,g,q,v,0.25,f,f,0,t,g,120.0,809,0
a,27.25,0.29,u,g,m,h,0.125,f,t,1,t,g,272.0,108,0
a,38.75,1.5,u,g,ff,ff,0.0,f,f,0,f,g,76.0,0,0
b,32.42,2.165,y,p,k,ff,0.0,f,f,0,f,g,120.0,0,0
a,23.75,0.71,u,g,w,v,0.25,f,t,1,t,g,240.0,4,0
b,18.17,2.46,u,g,c,n,0.96,f,t,2,t,g,160.0,587,0
b,40.92,0.5,y,p,m,v,0.5,f,f,0,t,g,130.0,0,0
b,19.5,9.585,u,g,aa,v,0.79,f,f,0,f,g,80.0,350,0
b,28.58,3.625,u,g,aa,v,0.25,f,f,0,t,g,100.0,0,0
b,35.58,0.75,u,g,k,v,1.5,f,f,0,t,g,231.0,0,0
b,34.17,2.75,u,g,i,bb,2.5,f,f,0,t,g,232.0,200,0
Missing,33.17,2.25,y,p,cc,v,3.5,f,f,0,t,g,200.0,141,0
b,31.58,0.75,y,p,aa,v,3.5,f,f,0,t,g,320.0,0,0
a,52.5,7.0,u,g,aa,h,3.0,f,f,0,f,g,0.0,0,0
b,36.17,0.42,y,p,w,v,0.29,f,f,0,t,g,309.0,2,0
b,37.33,2.665,u,g,cc,v,0.165,f,f,0,t,g,0.0,501,0
a,20.83,8.5,u,g,c,v,0.165,f,f,0,f,g,0.0,351,0
b,24.08,9.0,u,g,aa,v,0.25,f,f,0,t,g,0.0,0,0
b,25.58,0.335,u,g,k,h,3.5,f,f,0,t,g,340.0,0,0
a,35.17,3.75,u,g,ff,ff,0.0,f,t,6,f,g,0.0,200,0
b,48.08,3.75,u,g,i,bb,1.0,f,f,0,f,g,100.0,2,0
a,15.83,7.625,u,g,q,v,0.125,f,t,1,t,g,0.0,160,0
a,22.5,0.415,u,g,i,v,0.335,f,f,0,t,s,144.0,0,0
b,21.5,11.5,u,g,i,v,0.5,t,f,0,t,g,100.0,68,0
a,23.58,0.83,u,g,q,v,0.415,f,t,1,t,g,200.0,11,0
a,21.08,5.0,y,p,ff,ff,0.0,f,f,0,f,g,0.0,0,0
b,25.67,3.25,u,g,c,h,2.29,f,t,1,t,g,416.0,21,0
a,38.92,1.665,u,g,aa,v,0.25,f,f,0,f,g,0.0,390,0
a,15.75,0.375,u,g,c,v,1.0,f,f,0,f,g,120.0,18,0
a,28.58,3.75,u,g,c,v,0.25,f,t,1,t,g,40.0,154,0
b,22.25,9.0,u,g,aa,v,0.085,f,f,0,f,g,0.0,0,0
b,29.83,3.5,u,g,c,v,0.165,f,f,0,f,g,216.0,0,0
a,23.5,1.5,u,g,w,v,0.875,f,f,0,t,g,160.0,0,0
b,32.08,4.0,y,p,cc,v,1.5,f,f,0,t,g,120.0,0,0
b,31.08,1.5,y,p,w,v,0.04,f,f,0,f,s,160.0,0,0
b,31.83,0.04,y,p,m,v,0.04,f,f,0,f,g,0.0,0,0
a,21.75,11.75,u,g,c,v,0.25,f,f,0,t,g,180.0,0,0
a,17.92,0.54,u,g,c,v,1.75,f,t,1,t,g,80.0,5,0
b,30.33,0.5,u,g,d,h,0.085,f,f,0,t,s,252.0,0,0
b,51.83,2.04,y,p,ff,ff,1.5,f,f,0,f,g,120.0,1,0
b,47.17,5.835,u,g,w,v,5.5,f,f,0,f,g,465.0,150,0
b,25.83,12.835,u,g,cc,v,0.5,f,f,0,f,g,0.0,2,0
a,50.25,0.835,u,g,aa,v,0.5,f,f,0,t,g,240.0,117,0
Missing,29.5,2.0,y,p,e,h,2.0,f,f,0,f,g,256.0,17,0
a,37.33,2.5,u,g,i,h,0.21,f,f,0,f,g,260.0,246,0
a,41.58,1.04,u,g,aa,v,0.665,f,f,0,f,g,240.0,237,0
a,30.58,10.665,u,g,q,h,0.085,f,t,12,t,g,129.0,3,0
b,19.42,7.25,u,g,m,v,0.04,f,t,1,f,g,100.0,1,0
a,17.92,10.21,u,g,ff,ff,0.0,f,f,0,f,g,0.0,50,0
a,20.08,1.25,u,g,c,v,0.0,f,f,0,f,g,0.0,0,0
b,19.5,0.29,u,g,k,v,0.29,f,f,0,f,g,280.0,364,0
b,27.83,1.0,y,p,d,h,3.0,f,f,0,f,g,176.0,537,0
b,17.08,3.29,u,g,i,v,0.335,f,f,0,t,g,140.0,2,0
b,36.42,0.75,y,p,d,v,0.585,f,f,0,f,g,240.0,3,0
